region_code,full_name,name_depth,code_depth,children_count,has_children
530232,서울>광진구>화양동,3,3,0,0
530233,서울>광진구>군자동,3,3,0,0
530235,서울>동대문구>신설동,3,3,0,0
530236,서울>동대문구>용두동,3,3,0,0
530237,서울>동대문구>제기동,3,3,0,0
530238,서울>동대문구>전농동,3,3,0,0
530239,서울>동대문구>답십리동,3,3,0,0
530240,서울>동대문구>장안동,3,3,0,0
530241,서울>동대문구>청량리동,3,3,0,0
530242,서울>동대문구>회기동,3,3,0,0
530243,서울>동대문구>휘경동,3,3,0,0
530244,서울>동대문구>이문동,3,3,0,0
530246,서울>중랑구>면목동,3,3,0,0
530247,서울>중랑구>상봉동,3,3,0,0
530248,서울>중랑구>중화동,3,3,0,0
530249,서울>중랑구>묵동,3,3,0,0
530250,서울>중랑구>망우동,3,3,0,0
530251,서울>중랑구>신내동,3,3,0,0
530253,서울>성북구>성북동,3,3,0,0
530254,서울>성북구>성북동1가,3,3,0,0
530255,서울>성북구>돈암동,3,3,0,0
530256,서울>성북구>동소문동1가,3,3,0,0
530257,서울>성북구>동소문동2가,3,3,0,0
530258,서울>성북구>동소문동3가,3,3,0,0
530259,서울>성북구>동소문동4가,3,3,0,0
530260,서울>성북구>동소문동5가,3,3,0,0
530261,서울>성북구>동소문동6가,3,3,0,0
530262,서울>성북구>동소문동7가,3,3,0,0
530263,서울>성북구>삼선동1가,3,3,0,0
530264,서울>성북구>삼선동2가,3,3,0,0
530265,서울>성북구>삼선동3가,3,3,0,0
530266,서울>성북구>삼선동4가,3,3,0,0
530267,서울>성북구>삼선동5가,3,3,0,0
530268,서울>성북구>동선동1가,3,3,0,0
530269,서울>성북구>동선동2가,3,3,0,0
530270,서울>성북구>동선동3가,3,3,0,0
530271,서울>성북구>동선동4가,3,3,0,0
530272,서울>성북구>동선동5가,3,3,0,0
530273,서울>성북구>안암동1가,3,3,0,0
530274,서울>성북구>안암동2가,3,3,0,0
530275,서울>성북구>안암동3가,3,3,0,0
530276,서울>성북구>안암동4가,3,3,0,0
530277,서울>성북구>안암동5가,3,3,0,0
530278,서울>성북구>보문동4가,3,3,0,0
530279,서울>성북구>보문동5가,3,3,0,0
530280,서울>성북구>보문동6가,3,3,0,0
530281,서울>성북구>보문동7가,3,3,0,0
530282,서울>성북구>보문동1가,3,3,0,0
530283,서울>성북구>보문동2가,3,3,0,0
530284,서울>성북구>보문동3가,3,3,0,0
530285,서울>성북구>정릉동,3,3,0,0
530286,서울>성북구>길음동,3,3,0,0
530287,서울>성북구>종암동,3,3,0,0
530288,서울>성북구>하월곡동,3,3,0,0
530289,서울>성북구>상월곡동,3,3,0,0
530290,서울>성북구>장위동,3,3,0,0
530291,서울>성북구>석관동,3,3,0,0
530293,서울>강북구>미아동,3,3,0,0
530294,서울>강북구>번동,3,3,0,0
530295,서울>강북구>수유동,3,3,0,0
530296,서울>강북구>우이동,3,3,0,0
530298,서울>도봉구>쌍문동,3,3,0,0
530299,서울>도봉구>방학동,3,3,0,0
530300,서울>도봉구>창동,3,3,0,0
530301,서울>도봉구>도봉동,3,3,0,0
530303,서울>노원구>월계동,3,3,0,0
530304,서울>노원구>공릉동,3,3,0,0
530305,서울>노원구>하계동,3,3,0,0
530306,서울>노원구>상계동,3,3,0,0
530307,서울>노원구>중계동,3,3,0,0
530309,서울>은평구>수색동,3,3,0,0
530310,서울>은평구>녹번동,3,3,0,0
530311,서울>은평구>불광동,3,3,0,0
530312,서울>은평구>갈현동,3,3,0,0
530313,서울>은평구>구산동,3,3,0,0
530314,서울>은평구>대조동,3,3,0,0
530315,서울>은평구>응암동,3,3,0,0
530316,서울>은평구>역촌동,3,3,0,0
530317,서울>은평구>신사동,3,3,0,0
530318,서울>은평구>증산동,3,3,0,0
530319,서울>은평구>진관동,3,3,0,0
530321,서울>서대문구>충정로2가,3,3,0,0
530322,서울>서대문구>충정로3가,3,3,0,0
530323,서울>서대문구>합동,3,3,0,0
530324,서울>서대문구>미근동,3,3,0,0
530325,서울>서대문구>냉천동,3,3,0,0
530326,서울>서대문구>천연동,3,3,0,0
530327,서울>서대문구>옥천동,3,3,0,0
530328,서울>서대문구>영천동,3,3,0,0
530329,서울>서대문구>현저동,3,3,0,0
530330,서울>서대문구>북아현동,3,3,0,0
530331,서울>서대문구>홍제동,3,3,0,0
530332,서울>서대문구>대현동,3,3,0,0
530333,서울>서대문구>대신동,3,3,0,0
530334,서울>서대문구>신촌동,3,3,0,0
530335,서울>서대문구>봉원동,3,3,0,0
530336,서울>서대문구>창천동,3,3,0,0
530337,서울>서대문구>연희동,3,3,0,0
530338,서울>서대문구>홍은동,3,3,0,0
530339,서울>서대문구>북가좌동,3,3,0,0
530340,서울>서대문구>남가좌동,3,3,0,0
530342,서울>마포구>아현동,3,3,0,0
530343,서울>마포구>공덕동,3,3,0,0
530344,서울>마포구>신공덕동,3,3,0,0
530345,서울>마포구>도화동,3,3,0,0
530346,서울>마포구>용강동,3,3,0,0
530347,서울>마포구>토정동,3,3,0,0
530348,서울>마포구>마포동,3,3,0,0
530349,서울>마포구>대흥동,3,3,0,0
530350,서울>마포구>염리동,3,3,0,0
530351,서울>마포구>노고산동,3,3,0,0
530352,서울>마포구>신수동,3,3,0,0
530353,서울>마포구>현석동,3,3,0,0
530354,서울>마포구>구수동,3,3,0,0
530355,서울>마포구>창전동,3,3,0,0
530356,서울>마포구>상수동,3,3,0,0
530357,서울>마포구>하중동,3,3,0,0
530358,서울>마포구>신정동,3,3,0,0
530359,서울>마포구>당인동,3,3,0,0
530360,서울>마포구>서교동,3,3,0,0
530361,서울>마포구>동교동,3,3,0,0
530362,서울>마포구>합정동,3,3,0,0
530363,서울>마포구>망원동,3,3,0,0
530364,서울>마포구>연남동,3,3,0,0
530365,서울>마포구>성산동,3,3,0,0
530366,서울>마포구>중동,3,3,0,0
530367,서울>마포구>상암동,3,3,0,0
530369,서울>양천구>신정동,3,3,0,0
530370,서울>양천구>목동,3,3,0,0
530371,서울>양천구>신월동,3,3,0,0
530373,서울>강서구>염창동,3,3,0,0
530374,서울>강서구>등촌동,3,3,0,0
530375,서울>강서구>화곡동,3,3,0,0
530376,서울>강서구>가양동,3,3,0,0
530377,서울>강서구>마곡동,3,3,0,0
530378,서울>강서구>내발산동,3,3,0,0
530379,서울>강서구>외발산동,3,3,0,0
530380,서울>강서구>공항동,3,3,0,0
530381,서울>강서구>방화동,3,3,0,0
530382,서울>강서구>개화동,3,3,0,0
530383,서울>강서구>과해동,3,3,0,0
530384,서울>강서구>오곡동,3,3,0,0
530385,서울>강서구>오쇠동,3,3,0,0
530387,서울>구로구>신도림동,3,3,0,0
530388,서울>구로구>구로동,3,3,0,0
530389,서울>구로구>가리봉동,3,3,0,0
530390,서울>구로구>고척동,3,3,0,0
530391,서울>구로구>개봉동,3,3,0,0
530392,서울>구로구>오류동,3,3,0,0
530393,서울>구로구>궁동,3,3,0,0
